1,1,1,42736
2,1,2,42736
2,1,3,42736
1,1,4,42736
2,1,5,42736
1,1,6,42736
1,1,7,42736
2,2,8,42736
2,2,9,42736
1,2,10,42736
2,2,11,42736
1,2,12,42736
1,2,13,42736
2,1,14,42736
2,1,15,42736
1,1,16,42736
2,1,17,42736
1,1,18,42736
1,1,19,42736
1,2,20,42736
2,2,21,42736
1,2,22,42736
1,2,23,42795
2,2,24,42795
2,2,25,42795
1,1,26,42795
2,1,27,42767
1,1,28,42767
1,1,29,42767
2,1,30,42767
1,1,31,42736
1,2,32,42736
2,1,33,42736
2,1,34,42736
1,1,35,42795
2,1,36,42795
2,1,37,42795
1,1,38,42736
2,1,39,42736
1,1,40,42736
1,1,41,42736
2,1,42,42736
1,1,43,42736
1,2,44,42736
2,1,45,42736
1,1,46,42736
1,1,47,42795
2,1,48,42795
2,1,49,42736
1,1,50,42736
2,1,51,42736
1,1,52,42736
1,1,53,42736
2,1,54,42736
2,1,55,42736
1,1,56,42736
1,2,57,42736
2,1,58,42736
2,1,59,42736
1,1,60,42736
2,1,61,42736
2,1,62,42736
1,1,63,42736
2,1,64,42736
2,1,65,42736
1,1,66,42736
2,1,67,42736
1,1,68,42826
1,1,69,42826
2,1,70,42826
1,1,71,42826
1,1,72,42826
2,1,73,42826
1,1,74,42736
1,2,75,42736
2,1,76,42736
2,1,77,42736
1,1,78,42826
2,1,79,42826
2,1,80,42826
2,1,81,42826
2,1,82,42826
2,1,83,42826
1,1,84,42826
1,1,85,42826
2,2,86,42826
1,1,87,42736
1,1,88,42736
2,1,89,42736
2,2,90,42736
1,1,91,42736
2,1,92,42736
2,1,93,42736
1,1,94,42736
2,2,95,42736
1,1,96,42826
2,1,97,42826
1,1,98,42826
1,2,99,42826
